,Unnamed: 0,id,depart,fromTaz,toTaz,route,cluster
8486,8486,7.24,3086,1,6,564@572#0,0
8487,8487,62.66,3086,15,6,581@468#0,0
8488,8488,102.42,3086,8,13,643@365#0,0
8489,8489,112.96,3086,9,12,537@456#0,0
8490,8490,119.12,3086,9,8,537@456#0,0
8491,8491,77.54,3087,6,1,564@572#0,0
8492,8492,10.42,3086,1,9,520@641#0,0
8493,8493,83.59,3035,6,2,640@520#0 520@516#0 516@23#0,11
8494,8494,120.157,3089,9,9,537@456#0,0
8495,8495,63.65,2925,15,7,592@603#0 603@607#0 607@527#0 527@66#0 66@418#0 418@417#0 417@408#0 408@415#0 415@444#0,18
8496,8496,61.9,2946,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8497,8497,98.47,3022,7,9,448@325#0 325@78#0 78@409#0 409@538#0 538@456#0,20
8498,8498,64.97,3091,15,8,470@515#0,0
8499,8499,49.156,2972,14,15,39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0,25
8500,8500,94.53,2982,7,2,448@325#0 325@78#0 78@409#0 409@93#0 93@114#0,15
8501,8501,14.47,3022,10,13,409@78#0 78@325#0 325@540#0 540@541#0 541@448#0 448@312#0 312@512#0 512@364#0 364@363#0 363@568#0,34
8502,8502,16.143,2959,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8503,8503,115.304,3032,9,15,520@641#0 641@471#0,13
8504,8504,113.98,3042,9,13,520@641#0 641@471#0,13
8505,8505,107.4,3064,8,7,464@39#0 39@320#0 320@448#0,10
8506,8506,53.53,3078,14,8,409@538#0 538@456#0,26
8507,8507,92.67,3093,7,14,342@499#0,0
8508,8508,74.7,3000,2,7,114@93#0 93@409#0 409@78#0 78@325#0 325@540#0 540@541#0,14
8509,8509,6.55,3094,1,2,19@467#0,1
8510,8510,48.11,3094,14,14,201@558#0,0
8511,8511,72.165,3094,2,2,19@467#0,1
8512,8512,60.251,3095,15,15,581@468#0,0
8513,8513,66.147,3095,2,1,19@467#0,1
8514,8514,61.91,2979,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8515,8515,55.76,3040,15,1,411@432#0 432@450#0,13
8516,8516,103.89,3081,8,14,39@571#0,1
8517,8517,67.85,3091,2,10,36@34#0,2
8518,8518,99.55,3094,8,1,520@641#0,0
8519,8519,13.43,3096,10,12,537@456#0,0
8520,8520,16.142,2938,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8521,8521,16.144,2980,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8522,8522,16.145,3000,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8523,8523,115.305,3042,9,15,520@641#0 641@471#0,13
8524,8524,39.69,2993,13,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8525,8525,73.59,3079,2,6,516@642#0 642@520#0 520@641#0,6
8526,8526,80.37,3098,6,13,515@470#0,0
8527,8527,106.37,3098,8,6,515@470#0,0
8528,8528,16.146,3021,10,15,456@455#0 455@462#0 462@575#0 575@460#0 460@464#0 464@511#0 511@365#0 365@619#0 619@47#0,24
8529,8529,5.84,3055,1,15,641@471#0,0
8530,8530,82.173,3099,6,15,581@468#0,0
8531,8531,70.148,3098,2,14,536@461#0,0
8532,8532,116.191,3098,9,2,630@620#0,0
8533,8533,75.96,3086,2,8,34@33#0 33@537#0 537@456#0,3
8534,8534,104.174,3101,8,15,470@515#0,0
8535,8535,34.45,3000,13,10,513@363#0 363@364#0 364@512#0 512@312#0 312@448#0 448@325#0 325@78#0 78@409#0,33
8536,8536,74.71,3043,2,7,114@93#0 93@409#0 409@78#0 78@325#0 325@540#0 540@541#0,14
8537,8537,114.165,3062,9,14,456@409#0,0
8538,8538,114.166,3081,9,14,456@409#0,0
8539,8539,45.43,3096,14,10,409@93#0,1
8540,8540,50.62,3100,14,2,536@461#0,0
8541,8541,28.18,3086,12,2,456@33#0 33@34#0,4
8542,8542,65.81,3038,15,9,471@631#0 631@640#0 640@520#0,6
8543,8543,94.54,3038,7,2,448@325#0 325@78#0 78@409#0 409@93#0 93@114#0,15
8544,8544,38.119,3105,13,15,515@470#0,0
8545,8545,109.69,3105,8,9,537@456#0,0
8546,8546,111.144,3105,9,10,537@456#0,0
8547,8547,44.51,3010,14,1,461@401#0 401@634#0 634@453#0 453@534#0 534@452#0 452@467#0,27
8548,8548,59.138,2975,15,14,47@365#0 365@511#0 511@464#0 464@39#0,8
8549,8549,76.119,3105,2,9,630@620#0,0
8550,8550,58.63,3107,15,13,515@470#0,0
8551,8551,60.252,3107,15,15,581@468#0,0
8552,8552,105.72,3087,8,2,456@33#0 33@34#0,4
8553,8553,110.144,3105,9,1,520@641#0,0
8554,8554,33.66,3047,13,1,641@471#0,0
8555,8555,115.306,3052,9,15,520@641#0 641@471#0,13
8556,8556,120.158,3109,9,9,537@456#0,0
8557,8557,61.92,3011,15,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8558,8558,11.56,3055,10,1,456@483#0 483@28#0 28@520#0,10
8559,8559,12.57,3110,10,10,537@456#0,0
8560,8560,63.66,2970,15,7,47@365#0 365@511#0 511@419#0 419@514#0 514@649#0,28
8561,8561,51.3,3000,14,6,409@538#0 538@456#0 456@483#0 483@28#0 28@520#0 520@641#0,25
8562,8562,0.51,3112,1,1,450@574#0,0
8563,8563,119.121,3112,9,8,537@456#0,0
8564,8564,83.6,3086,6,2,640@520#0 520@516#0 516@23#0,11
8565,8565,114.167,3099,9,14,456@409#0,0
8566,8566,72.166,3113,2,2,467@19#0,1
8567,8567,85.51,2962,6,7,515@47#0 47@365#0 365@511#0 511@419#0 419@514#0 514@649#0,25
8568,8568,59.139,2997,15,14,47@365#0 365@511#0 511@464#0 464@39#0,8
8569,8569,18.32,3032,10,6,456@483#0 483@28#0 28@520#0 520@641#0,8
8570,8570,117.7,3112,9,6,520@641#0,0
8571,8571,101.32,3114,8,12,650@460#0,0
8572,8572,59.141,3040,15,14,47@365#0 365@511#0 511@464#0 464@39#0,8
8573,8573,41.32,3114,13,7,465@445#0,0
8574,8574,66.148,3116,2,1,19@467#0,1
8575,8575,59.14,3018,15,14,47@365#0 365@511#0 511@464#0 464@39#0,8
8576,8576,39.7,3037,13,2,471@631#0 631@640#0 640@520#0 520@516#0 516@23#0,20
8577,8577,37.84,3086,13,14,513@363#0 363@364#0 364@512#0 512@475#0,5
8578,8578,116.192,3114,9,2,620@630#0,0
8579,8579,82.174,3117,6,15,581@468#0,0
8580,8580,115.307,3062,9,15,520@641#0 641@471#0,13
8581,8581,21.71,3118,10,9,537@456#0,0
8582,8582,112.97,3118,9,12,537@456#0,0
8583,8583,56.6,2959,15,10,47@365#0 365@511#0 511@464#0 464@650#0 650@460#0 460@462#0 462@455#0 455@456#0,29
8584,8584,56.61,3009,15,10,47@365#0 365@511#0 511@464#0 464@650#0 650@460#0 460@462#0 462@455#0 455@456#0,29
8585,8585,63.67,3015,15,7,47@365#0 365@511#0 511@419#0 419@514#0 514@649#0,28
8586,8586,9.32,3114,1,8,520@641#0,0
8587,8587,60.253,3119,15,15,581@468#0,0
8588,8588,104.175,3119,8,15,515@470#0,0
8589,8589,36.52,3120,13,13,643@365#0,0
8590,8590,100.52,3120,8,10,537@456#0,0
8591,8591,19.36,3086,10,7,409@78#0 78@325#0 325@540#0 540@541#0,8
8592,8592,70.149,3119,2,14,536@461#0,0
8593,8593,108.65,3121,8,8,643@365#0,0
8594,8594,49.157,2991,14,15,39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0,25
8595,8595,35.26,3120,13,12,465@445#0,0
8596,8596,87.52,3120,6,9,520@641#0,0
8597,8597,48.111,3122,14,14,201@558#0,0
8598,8598,71.246,3023,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8599,8599,17.71,3118,10,2,36@34#0,2
8600,8600,64.98,3123,15,8,515@470#0,0
8601,8601,71.244,2998,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8602,8602,49.158,3010,14,15,39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0,25
8603,8603,68.57,3110,2,12,34@33#0 33@537#0 537@456#0,3
8604,8604,15.78,3120,10,14,409@93#0,1
8605,8605,20.59,3124,10,8,537@456#0,0
8606,8606,86.59,3124,6,8,515@470#0,0
8607,8607,42.46,3125,13,8,643@365#0,0
8608,8608,81.72,2981,6,14,640@520#0 520@28#0 28@483#0 483@456#0 456@409#0,17
8609,8609,69.1,3026,2,13,516@642#0 642@520#0 520@641#0 641@471#0,5
8610,8610,55.77,3080,15,1,581@395#0 395@578#0 578@576#0 576@433#0 433@574#0,19
8611,8611,111.145,3126,9,10,537@456#0,0
8612,8612,4.46,3011,1,14,467@452#0 452@453#1 453@401#0 401@536#0,5
8613,8613,71.245,3011,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8614,8614,110.145,3126,9,1,520@641#0,0
8615,8615,120.159,3128,9,9,537@456#0,0
8616,8616,69.99,2995,2,13,516@642#0 642@520#0 520@641#0 641@471#0,5
8617,8617,49.159,3029,14,15,39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0,25
8618,8618,114.168,3118,9,14,456@409#0,0
8619,8619,71.247,3035,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8620,8620,78.38,3040,6,10,640@520#0 520@28#0 28@483#0 483@456#0,8
8621,8621,103.9,3116,8,14,39@571#0,1
8622,8622,38.12,3131,13,15,470@515#0,0
8623,8623,71.248,3047,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8624,8624,97.5,3104,7,8,617@615#0 615@614#0 614@613#0,6
8625,8625,75.97,3118,2,8,34@33#0 33@537#0 537@456#0,3
8626,8626,116.193,3130,9,2,630@620#0,0
8627,8627,60.254,3132,15,15,581@468#0,0
8628,8628,72.167,3132,2,2,467@19#0,1
8629,8629,81.73,3021,6,14,640@520#0 520@28#0 28@483#0 483@456#0 456@409#0,17
8630,8630,69.101,3056,2,13,516@642#0 642@520#0 520@641#0 641@471#0,5
8631,8631,67.86,3128,2,10,36@34#0,2
8632,8632,62.67,3133,15,6,581@468#0,0
8633,8633,8.29,2983,1,7,520@28#0 28@483#0 483@456#0 456@409#0 409@78#0 78@325#0 325@540#0 540@541#0,30
8634,8634,49.16,3048,14,15,39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0,25
8635,8635,71.249,3060,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8636,8636,76.12,3131,2,9,630@620#0,0
8637,8637,82.175,3135,6,15,581@468#0,0
8638,8638,118.84,3055,9,7,456@409#0 409@78#0 78@325#0 325@540#0 540@541#0,17
8639,8639,3.35,3081,1,13,641@471#0,0
8640,8640,66.149,3137,2,1,467@19#0,1
8641,8641,104.176,3137,8,15,515@470#0,0
8642,8642,113.99,3074,9,13,520@641#0 641@471#0,13
8643,8643,119.122,3138,9,8,537@456#0,0
8644,8644,92.68,3139,7,14,342@499#0,0
8645,8645,118.85,3091,9,7,456@409#0 409@78#0 78@325#0 325@540#0 540@541#0,17
8646,8646,84.41,3141,6,6,564@572#0,0
8647,8647,54.53,3128,14,9,409@538#0 538@456#0,26
8648,8648,70.15,3140,2,14,536@461#0,0
8649,8649,115.308,3072,9,15,520@641#0 641@471#0,13
8650,8650,77.55,3143,6,1,564@572#0,0
8651,8651,105.73,3129,8,2,456@33#0 33@34#0,4
8652,8652,60.255,3144,15,15,581@468#0,0
8653,8653,115.309,3082,9,15,520@641#0 641@471#0,13
8654,8654,5.85,3091,1,15,641@471#0,0
8655,8655,71.25,3072,2,15,516@642#0 642@520#0 520@641#0 641@471#0,5
8656,8656,33.67,3093,13,1,641@471#0,0
8657,8657,116.194,3146,9,2,620@630#0,0
8658,8658,111.146,3148,9,10,537@456#0,0
8659,8659,120.16,3148,9,9,537@456#0,0
8660,8660,114.169,3136,9,14,456@409#0,0
8661,8661,115.31,3092,9,15,520@641#0 641@471#0,13
8662,8662,110.146,3148,9,1,520@641#0,0
8663,8663,6.56,3150,1,2,467@19#0,1
8664,8664,40.28,3150,13,6,515@470#0,0
8665,8665,48.112,3150,14,14,201@558#0,0
8666,8666,72.168,3150,2,2,467@19#0,1
8667,8667,96.42,3150,7,7,341@498#0,0
8668,8668,109.7,3150,8,9,537@456#0,0
8669,8669,112.98,3150,9,12,537@456#0,0
8670,8670,27.39,3120,12,15,511@365#0 365@619#0 619@47#0,9
8671,8671,50.63,3150,14,2,536@461#0,0
8672,8672,91.35,3150,7,13,465@445#0,0
8673,8673,99.56,3150,8,1,520@641#0,0
8674,8674,82.176,3153,6,15,581@468#0,0
8675,8675,64.99,3154,15,8,515@470#0,0
8676,8676,43.55,3047,13,9,471@631#0 631@640#0 640@520#0,6
8677,8677,104.177,3155,8,15,515@470#0,0
8678,8678,57.46,3125,15,12,47@365#0 365@511#0,7
8679,8679,60.256,3156,15,15,581@468#0,0
8680,8680,47.51,3112,14,13,312@512#0 512@364#0 364@363#0 363@568#0,5
8681,8681,73.6,3131,2,6,516@642#0 642@520#0 520@641#0,6
