,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v
65,12.64522564,0.148917032,464@39#0,833.9942365,0.54311931,0,0,0.011776542
66,12.84018939,0.194963747,464@39#0,846.8344259,0.523760503,0,0,0.015183868
67,12.15103019,-0.689159198,464@39#0,858.9854561,0.484045089,0,0,0.056716113
68,12.97861049,0.827580297,464@39#0,871.9640666,0.43196222,0,0,0.063764938
69,12.516856,-0.46175449,464@39#0,884.4809226,0.474040552,0,0,0.036890613
70,12.22511783,-0.29173817,464@39#0,896.7060404,0.545275726,0,0,0.023863833
71,13.04461208,0.819494257,464@39#0,909.7506525,0.467926428,0,0,0.062822432
72,12.37184189,-0.672770194,464@39#0,922.1224944,0.494925476,0,0,0.054379146
73,13.05889151,0.687049617,464@39#0,935.1813859,0.441959928,0,0,0.052611634
74,12.5582968,-0.50059471,464@39#0,947.7396827,0.405571673,0,0,0.039861672
75,12.84438521,0.286088415,464@39#0,960.5840679,0.448026051,0,0,0.022273422
76,12.84300953,-0.001375682,464@39#0,973.4270774,0.531123037,0,0,0.000107115
77,12.55100447,-0.292005058,464@39#0,985.9780819,0.538517114,0,0,0.023265473
78,12.85775608,0.306751609,464@39#0,998.8358379,0.579803798,0,0,0.023857321
79,11.97521827,-0.882537808,464@39#0,1010.811056,0.517323612,0,0,0.073697012
80,12.97930818,1.004089913,464@39#0,1023.790364,0.835048566,0,0,0.077360819
81,13.02530946,0.951948143,320@448#0,1061.595838,1.082307155,0,0,0.073084493
82,12.08254878,-0.942760677,320@448#0,1073.678387,1.438031087,0,0,0.078026639
83,12.23994291,0.157394129,320@448#0,1085.918329,1.460999392,0,0,0.012859057
84,12.37665508,0.136712164,320@448#0,1098.294985,1.451801911,0,0,0.01104597
85,13.08728727,0.710632191,320@448#0,1111.382272,1.381410479,0,0,0.054299426
86,12.25494172,-0.832345548,320@448#0,1123.637214,1.298395022,0,0,0.067919176
87,12.62088754,0.365945826,320@448#0,1136.258101,1.262064321,0,0,0.028995253
88,11.9012691,-0.719618448,320@448#0,1148.15937,1.190113918,0,0,0.06046569
89,11.64353314,-0.257735953,320@448#0,1159.802903,1.164353314,0,0,0.022135545
90,7.462193689,-4.181339454,320@448#0,1167.265097,0.746219369,-2,-1,0.560336495
91,4.943606531,-2.518587157,320@448#0,1172.208704,0.494360653,-1,0,0.509463514
92,0.443606531,-4.5,320@448#0,1172.65231,0.044360653,-4,0,10.14412476
93,0.056529349,-0.387077182,320@448#0,1172.708839,0.005652935,0,0,6.847366689
94,0.011791997,-0.044737352,320@448#0,1172.720631,0.0011792,0,0,3.793874145
95,0.005074129,-0.006717868,320@448#0,1172.725706,0.000507413,0,0,1.323945049
96,0.00288315,-0.002190979,320@448#0,1172.728589,0.000288315,0,0,0.759925681
97,0.00024433,-0.00263882,320@448#0,1172.728833,2.44E-05,0,0,10.80022926
98,0.000129915,-0.000114415,320@448#0,1172.728963,1.30E-05,0,0,0.880685612
99,0,-0.000129915,320@448#0,1172.728963,0,0,0,0
100,0,0,320@448#0,1172.728963,0,0,0,0
101,0,0,320@448#0,1172.728963,0,0,0,0
102,0,0,320@448#0,1172.728963,0,0,0,0
103,0,0,320@448#0,1172.728963,0,0,0,0
104,0,0,320@448#0,1172.728963,0,0,0,0
105,0,0,320@448#0,1172.728963,0,0,0,0
106,0,0,320@448#0,1172.728963,0,0,0,0
107,0,0,320@448#0,1172.728963,0,0,0,0
108,0,0,320@448#0,1172.728963,0,0,0,0
109,0,0,320@448#0,1172.728963,0,0,0,0
110,0,0,320@448#0,1172.728963,0,0,0,0
111,0,0,320@448#0,1172.728963,0,0,0,0
112,0,0,320@448#0,1172.728963,0,0,0,0
113,0,0,320@448#0,1172.728963,0,0,0,0
114,0,0,320@448#0,1172.728963,0,0,0,0
115,0,0,320@448#0,1172.728963,0,0,0,0
116,0,0,320@448#0,1172.728963,0,0,0,0
117,0,0,320@448#0,1172.728963,0,0,0,0
118,0,0,320@448#0,1172.728963,0,0,0,0
119,0,0,320@448#0,1172.728963,0,0,0,0
120,0,0,320@448#0,1172.728963,0,0,0,0
121,0,0,320@448#0,1172.728963,0,0,0,0
122,0,0,320@448#0,1172.728963,0,0,0,0
123,0,0,320@448#0,1172.728963,0,0,0,0
124,0,0,320@448#0,1172.728963,0,0,0,0
125,0,0,320@448#0,1172.728963,0,0,0,0
126,0,0,320@448#0,1172.728963,0,0,0,0
127,0,0,320@448#0,1172.728963,0,0,0,0
128,0,0,320@448#0,1172.728963,0,0,0,0
129,0,0,320@448#0,1172.728963,0,0,0,0
130,0,0,320@448#0,1172.728963,0,0,0,0
131,0,0,320@448#0,1172.728963,0,0,0,0
132,0,0,320@448#0,1172.728963,0,0,0,0
133,0,0,320@448#0,1172.728963,0,0,0,0
134,0,0,320@448#0,1172.728963,0,0,0,0
135,0,0,320@448#0,1172.728963,0,0,0,0
136,0,0,320@448#0,1172.728963,0,0,0,0
137,0,0,320@448#0,1172.728963,0,0,0,0
138,0,0,320@448#0,1172.728963,0,0,0,0
139,0,0,320@448#0,1172.728963,0,0,0,0
140,0,0,320@448#0,1172.728963,0,0,0,0
141,0,0,320@448#0,1172.728963,1.293542687,0,0,0
