,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v,a/v
0,0.0,0.0,0/1to1/1,0.0,1.5184345064681715,0,0,0.0,0.0
1,2.6,2.6,0/1to1/1,2.5999999999999996,1.3034690129363429,1,0,24.336000000000006,0.27777777777777773
2,5.2,2.6,0/1to1/1,7.799999999999999,1.0434690129363429,1,0,48.67200000000001,0.13888888888888887
3,7.800000000000001,2.6000000000000005,0/1to1/1,15.6,0.7834690129363426,1,0,73.00800000000002,0.0925925925925926
4,10.32118492126465,2.5211849212646484,0/1to1/1,25.921184921264647,0.5313505208098779,1,0,93.67781685507538,0.06785356043305198
5,12.921184921264649,2.5999999999999996,0/1to1/1,38.842369842529294,0.27135052080987787,1,0,120.9422908630371,0.055894426604300565
6,14.734000000000002,1.812815078735353,0/1to1/1,53.576369842529296,0.09006901293634258,0,0,96.1560625323121,0.0341767167159735
7,14.734000000000002,0.0,0/1to1/1,68.3103698425293,0.09006901293634258,0,0,0.0,0.0
8,14.734000000000002,0.0,0/1to1/1,83.0443698425293,0.09006901293634258,0,0,0.0,0.0
9,14.708066636250699,-0.025933363749302885,0/1to1/1,97.75243647878,0.08747567656141228,0,0,1.3731467116567504,0.0004897796787804373
10,14.283654935318289,-0.42441170093241,0/1to1/1,112.03609141409828,0.04503450646817129,0,0,21.823741031868174,0.008253639539862254
11,14.734000000000002,0.45034506468171287,0/1to1/1,126.77009141409829,0.0,0,0,23.88738305887329,0.00849028446453616
12,14.734000000000002,0.0,0/1to1/1,141.5040914140983,0.0,0,0,0.0,0.0
13,14.734000000000002,0.0,0/1to1/1,156.2380914140983,0.0,0,0,0.0,0.0
14,14.734000000000002,0.0,0/1to1/1,170.97209141409832,0.0,0,0,0.0,0.0
15,14.734000000000002,0.0,0/1to1/1,185.70609141409832,0.0,0,0,0.0,0.0
16,14.734000000000002,0.0,0/1to1/1,200.44009141409833,0.0,0,0,0.0,0.0
17,14.734000000000002,0.0,0/1to1/1,215.17409141409834,0.0,0,0,0.0,0.0
18,14.734000000000002,0.0,0/1to1/1,229.90809141409835,0.0,0,0,0.0,0.0
19,14.734000000000002,0.0,0/1to1/1,244.64209141409836,0.0,0,0,0.0,0.0
20,14.734000000000002,0.0,0/1to1/1,259.3760914140983,0.0,0,0,0.0,0.0
21,14.734000000000002,0.0,0/1to1/1,274.1100914140983,0.0,0,0,0.0,0.0
22,14.734000000000002,0.0,0/1to1/1,288.8440914140983,0.0,0,0,0.0,0.0
23,14.734000000000002,0.0,0/1to1/1,303.57809141409825,0.0,0,0,0.0,0.0
24,14.734000000000002,0.0,0/1to1/1,318.31209141409823,0.0,0,0,0.0,0.0
25,14.734000000000002,0.0,0/1to1/1,333.0460914140982,0.0,0,0,0.0,0.0
26,14.734000000000002,0.0,0/1to1/1,347.7800914140982,0.0,0,0,0.0,0.0
27,14.734000000000002,0.0,0/1to1/1,362.5140914140982,0.0,0,0,0.0,0.0
28,14.734000000000002,0.0,0/1to1/1,377.24809141409816,0.0,0,0,0.0,0.0
29,14.734000000000002,0.0,0/1to1/1,391.98209141409814,0.0,0,0,0.0,0.0
30,14.734000000000002,0.0,1/1to1/4,421.4500914140981,0.0,0,0,0.0,0.0
31,14.734000000000002,0.0,1/1to1/4,436.1840914140981,0.0,0,0,0.0,0.0
32,14.734000000000002,0.0,1/1to1/4,450.9180914140981,0.0,0,0,0.0,0.0
33,14.734000000000002,0.0,1/1to1/4,465.6520914140981,0.0,0,0,0.0,0.0
34,14.734000000000002,0.0,1/1to1/4,480.38609141409813,0.0,0,0,0.0,0.0
35,14.734000000000002,0.0,1/1to1/4,495.1200914140981,0.0,0,0,0.0,0.0
36,14.734000000000002,0.0,1/1to1/4,509.8540914140981,0.0,0,0,0.0,0.0
37,14.734000000000002,0.0,1/1to1/4,524.5880914140981,0.0,0,0,0.0,0.0
38,14.734000000000002,0.0,1/1to1/4,539.3220914140982,0.0,0,0,0.0,0.0
39,14.734000000000002,0.0,1/1to1/4,554.0560914140981,0.0,0,0,0.0,0.0
40,14.734000000000002,0.0,1/1to1/4,568.7900914140981,0.0,0,0,0.0,0.0
41,14.734000000000002,0.0,1/1to1/4,583.5240914140982,0.0,0,0,0.0,0.0
42,14.734000000000002,0.0,1/1to1/4,598.2580914140982,0.0,0,0,0.0,0.0
43,14.734000000000002,0.0,1/1to1/4,612.9920914140982,0.0,0,0,0.0,0.0
44,14.734000000000002,0.0,1/1to1/4,627.7260914140982,0.0,0,0,0.0,0.0
45,14.734000000000002,0.0,1/1to1/4,642.4600914140982,0.0,0,0,0.0,0.0
46,14.734000000000002,0.0,1/1to1/4,657.1940914140982,0.0,0,0,0.0,0.0
47,14.734000000000002,0.0,1/1to1/4,671.9280914140982,0.0,0,0,0.0,0.0
48,14.734000000000002,0.0,1/1to1/4,686.6620914140982,0.0,0,0,0.0,0.0
49,14.734000000000002,0.0,1/1to1/4,701.3960914140982,0.0,0,0,0.0,0.0
50,14.734000000000002,0.0,1/1to1/4,716.1300914140982,0.0,0,0,0.0,0.0
51,14.734000000000002,0.0,1/1to1/4,730.8640914140981,0.0,0,0,0.0,0.0
52,14.734000000000002,0.0,1/1to1/4,745.5980914140981,0.0,0,0,0.0,0.0
53,14.734000000000002,0.0,1/1to1/4,760.3320914140982,0.0,0,0,0.0,0.0
54,14.734000000000002,0.0,1/1to1/4,775.0660914140981,0.0,0,0,0.0,0.0
55,14.734000000000002,0.0,1/1to1/4,789.800091414098,0.0,0,0,0.0,0.0
